Rank,Bank name,Market cap(US$ billion),Market Cap (INR billion),Market Cap (EUR billion),Market Cap (GBP billion)
1,JPMorgan Chase,432.92,35910.714,402.61560000000003,346.336
2,Bank of America,231.52,19204.584000000003,215.3136,185.216
3,Industrial and Commercial Bank of China,194.56,16138.752,180.94080000000002,155.64800000000002
4,Agricultural Bank of China,160.68,13328.406,149.4324,128.544
5,HDFC Bank,157.91,13098.6345,146.8563,126.328
6,Wells Fargo,155.87,12929.416500000001,144.9591,124.69600000000001
7,HSBC Holdings PLC,148.9,12351.255000000001,138.477,119.12
8,Morgan Stanley,140.83,11681.848500000002,130.9719,112.66400000000002
9,China Construction Bank,139.82,11598.069,130.0326,111.856
10,Bank of China,136.81,11348.389500000001,127.23330000000001,109.44800000000001
